"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 16 15:37:41 GMT 2024","Tue Jan 16 15:37:41 GMT 2024","0","","org.example.AppTest","","org.example.AppTest","","AppTest",""
"broken","Tue Jan 16 15:37:41 GMT 2024","Tue Jan 16 15:37:41 GMT 2024","1","","org.example.NextTest","","org.example.NextTest","","NextTest",""
